"","ds","V2","y"
"1",2018-10-01,"112,3",112.3
"2",2018-09-01,"112,1",112.1
"3",2018-08-01,"111,7",111.7
"4",2018-07-01,"111,6",111.6
"5",2018-06-01,"111,3",111.3
"6",2018-05-01,"111,2",111.2
"7",2018-04-01,"110,7",110.7
"8",2018-03-01,"110,7",110.7
"9",2018-02-01,"110,3",110.3
"10",2018-01-01,"109,8",109.8
"11",2017-12-01,"110,6",110.6
"12",2017-11-01,"109,9",109.9
"13",2017-10-01,"109,6",109.6
"14",2017-09-01,"109,6",109.6
"15",2017-08-01,"109,5",109.5
"16",2017-07-01,"109,4",109.4
"17",2017-06-01,"109",109
"18",2017-05-01,"108,8",108.8
"19",2017-04-01,"109",109
"20",2017-03-01,"109",109
"21",2017-02-01,"108,8",108.8
"22",2017-01-01,"108,1",108.1
"23",2016-12-01,"108,8",108.8
"24",2016-11-01,"108",108
"25",2016-10-01,"107,9",107.9
"26",2016-09-01,"107,7",107.7
"27",2016-08-01,"107,6",107.6
"28",2016-07-01,"107,6",107.6
"29",2016-06-01,"107,3",107.3
"30",2016-05-01,"107,2",107.2
"31",2016-04-01,"106,9",106.9
"32",2016-03-01,"107,3",107.3
"33",2016-02-01,"106,5",106.5
"34",2016-01-01,"106,1",106.1
"35",2015-12-01,"107",107
"36",2015-11-01,"107,1",107.1
"37",2015-10-01,"107",107
"38",2015-09-01,"107",107
"39",2015-08-01,"107,2",107.2
"40",2015-07-01,"107,2",107.2
"41",2015-06-01,"107",107
"42",2015-05-01,"107,1",107.1
"43",2015-04-01,"107",107
"44",2015-03-01,"107",107
"45",2015-02-01,"106,5",106.5
"46",2015-01-01,"105,6",105.6
"47",2014-12-01,"106,7",106.7
"48",2014-11-01,"106,7",106.7
"49",2014-10-01,"106,7",106.7
"50",2014-09-01,"107",107
"51",2014-08-01,"107",107
"52",2014-07-01,"107",107
"53",2014-06-01,"106,7",106.7
"54",2014-05-01,"106,4",106.4
"55",2014-04-01,"106,5",106.5
"56",2014-03-01,"106,7",106.7
"57",2014-02-01,"106,4",106.4
"58",2014-01-01,"105,9",105.9
"59",2013-12-01,"106,5",106.5
"60",2013-11-01,"106,1",106.1
"61",2013-10-01,"105,9",105.9
"62",2013-09-01,"106,1",106.1
"63",2013-08-01,"106,1",106.1
"64",2013-07-01,"106,1",106.1
"65",2013-06-01,"105,6",105.6
"66",2013-05-01,"105,5",105.5
"67",2013-04-01,"105,1",105.1
"68",2013-03-01,"105,6",105.6
"69",2013-02-01,"105,1",105.1
